TASK_CODE,ACTIVITY_CODE,DESCRIPTION
PA100,A105,Coordinating foreign filing instructions with foreign counsel
PA100,A101,Conducting prior art search and preparing summary memo
PA100,A102,Conducting prior art search and preparing summary memo
PA100,A101,Preparing certified copy request for priority documents
PA100,A103,Analyzing PCT search results and recommending filing strategy
PA100,A104,Preparing certified copy request for priority documents
PA100,A101,Drafting response to USPTO Office Action for utility patent application
PA100,A107,Preparing certified copy request for priority documents
PA100,A104,Reviewing examiner interview summary and preparing client update
PA100,A106,Reviewing examiner interview summary and preparing client update
PA100,A106,Drafting preliminary amendment for continuation application
PA100,A102,Preparing and filing IDS in response to examiner citation
PA100,A107,Analyzing PCT search results and recommending filing strategy
PA100,A103,Coordinating foreign filing instructions with foreign counsel
PA100,A101,Coordinating foreign filing instructions with foreign counsel
PA100,A105,Drafting patent claims in preparation for new filing
PA100,A105,Coordinating foreign filing instructions with foreign counsel
PA100,A106,Preparing and filing IDS in response to examiner citation
PA100,A101,Preparing and filing IDS in response to examiner citation
PA100,A106,Conducting prior art search and preparing summary memo
PA100,A101,Preparing certified copy request for priority documents
PA100,A104,Analyzing PCT search results and recommending filing strategy
PA100,A106,Responding to restriction requirement and revising claim set
PA100,A107,Responding to restriction requirement and revising claim set
PA100,A107,Coordinating foreign filing instructions with foreign counsel
PA100,A107,Drafting patent claims in preparation for new filing
PA100,A103,Preparing certified copy request for priority documents
PA100,A106,Drafting preliminary amendment for continuation application
PA100,A101,Coordinating foreign filing instructions with foreign counsel
PA100,A104,Drafting preliminary amendment for continuation application
PA100,A104,Preparing and filing IDS in response to examiner citation
PA100,A105,Preparing and filing IDS in response to examiner citation
PA100,A105,Conducting prior art search and preparing summary memo
PA100,A103,Preparing and filing IDS in response to examiner citation
PA100,A102,Drafting response to USPTO Office Action for utility patent application
PA100,A102,Drafting patent claims in preparation for new filing
PA100,A101,Preparing and filing IDS in response to examiner citation
PA100,A102,Responding to restriction requirement and revising claim set
PA100,A107,Preparing and filing IDS in response to examiner citation
PA100,A107,Reviewing examiner interview summary and preparing client update
PA100,A105,Coordinating foreign filing instructions with foreign counsel
PA100,A106,Preparing certified copy request for priority documents
PA100,A105,Drafting patent claims in preparation for new filing
PA100,A103,Conducting prior art search and preparing summary memo
PA100,A102,Reviewing examiner interview summary and preparing client update
PA100,A104,Drafting preliminary amendment for continuation application
PA100,A101,Conducting prior art search and preparing summary memo
PA100,A101,Preparing certified copy request for priority documents
PA100,A103,Reviewing examiner interview summary and preparing client update
PA100,A101,Analyzing PCT search results and recommending filing strategy
PA100,A101,Preparing and filing IDS in response to examiner citation
PA100,A101,Conducting prior art search and preparing summary memo
PA100,A105,Conducting prior art search and preparing summary memo
PA100,A104,Preparing and filing IDS in response to examiner citation
PA100,A102,Drafting response to USPTO Office Action for utility patent application
PA100,A107,Responding to restriction requirement and revising claim set
PA100,A107,Preparing and filing IDS in response to examiner citation
PA100,A103,Drafting preliminary amendment for continuation application
PA100,A107,Conducting prior art search and preparing summary memo
PA100,A104,Preparing certified copy request for priority documents
PA100,A103,Reviewing examiner interview summary and preparing client update
PA100,A106,Reviewing examiner interview summary and preparing client update
PA100,A101,Drafting response to USPTO Office Action for utility patent application
PA100,A107,Reviewing examiner interview summary and preparing client update
PA100,A102,Reviewing examiner interview summary and preparing client update
PA100,A101,Responding to restriction requirement and revising claim set
PA100,A105,Drafting response to USPTO Office Action for utility patent application
PA100,A106,Responding to restriction requirement and revising claim set
PA100,A104,Drafting preliminary amendment for continuation application
PA100,A103,Coordinating foreign filing instructions with foreign counsel
PA100,A104,Conducting prior art search and preparing summary memo
PA100,A103,Preparing certified copy request for priority documents
PA100,A103,Analyzing PCT search results and recommending filing strategy
PA100,A101,Drafting patent claims in preparation for new filing
PA100,A105,Drafting preliminary amendment for continuation application
PA100,A106,Responding to restriction requirement and revising claim set
PA100,A107,Drafting patent claims in preparation for new filing
PA100,A106,Preparing and filing IDS in response to examiner citation
PA100,A103,Preparing certified copy request for priority documents
PA100,A102,Responding to restriction requirement and revising claim set
PA100,A107,Coordinating foreign filing instructions with foreign counsel
PA100,A107,Drafting preliminary amendment for continuation application
PA100,A107,Preparing and filing IDS in response to examiner citation
PA100,A101,Drafting preliminary amendment for continuation application
PA100,A103,Preparing and filing IDS in response to examiner citation
PA100,A104,Drafting patent claims in preparation for new filing
PA100,A104,Preparing and filing IDS in response to examiner citation
PA100,A107,Analyzing PCT search results and recommending filing strategy
PA100,A105,Preparing certified copy request for priority documents
PA100,A106,Analyzing PCT search results and recommending filing strategy
PA100,A102,Coordinating foreign filing instructions with foreign counsel
PA100,A107,Drafting response to USPTO Office Action for utility patent application
PA100,A103,Preparing and filing IDS in response to examiner citation
PA100,A107,Reviewing examiner interview summary and preparing client update
PA100,A104,Drafting response to USPTO Office Action for utility patent application
PA100,A101,Preparing certified copy request for priority documents
PA100,A106,Reviewing examiner interview summary and preparing client update
PA100,A101,Conducting prior art search and preparing summary memo
PA100,A102,Drafting patent claims in preparation for new filing
PA100,A101,Responding to restriction requirement and revising claim set
PA100,A107,Preparing and filing IDS in response to examiner citation
PA100,A106,Analyzing PCT search results and recommending filing strategy
PA100,A106,Drafting response to USPTO Office Action for utility patent application
PA100,A102,Preparing and filing IDS in response to examiner citation
PA100,A107,Coordinating foreign filing instructions with foreign counsel
PA100,A101,Drafting preliminary amendment for continuation application
PA100,A103,Drafting patent claims in preparation for new filing
PA100,A101,Preparing certified copy request for priority documents
PA100,A102,Drafting preliminary amendment for continuation application
PA100,A106,Analyzing PCT search results and recommending filing strategy
PA100,A107,Drafting preliminary amendment for continuation application
PA100,A101,Preparing certified copy request for priority documents
PA100,A102,Drafting preliminary amendment for continuation application
PA100,A105,Drafting patent claims in preparation for new filing
PA100,A103,Drafting response to USPTO Office Action for utility patent application
PA100,A105,Drafting preliminary amendment for continuation application
